ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Type,Sanitation Method,Idle Energy Rate for Low Temp and Dual Sanitizing Machines (kW),Idle Energy Rate for High Temp and Dual Sanitizing Machines (kW),Inseparable Booster Heater,Booster Heater Idle Energy Rate for High Temp and Dual Sanitizing Machines) (kW)   ,Water Consumption (gallons/rack),Water Consumption (gallons/hr),Water Consumption (gallons/sq. ft.),Washing Energy Consumption (kWh/rack) for Low Temp and Dual Sanitizing Machines,Washing Energy Consumption (kWh/rack) for High Temp and Dual Sanitizing Machines,Heat Recovery Machine,Heat Recovery Features,Hot Water Energy Offset Claimed,Hot Water Energy Offset (kWh/rack)  ,Racks per Hour,Pot Pan Utensil Machine Wash Area (ft2),Energy Saver Mode ,Energy Saver Mode Idle Rate (kW),Date Available on Market,Date Certified,Markets,CB Model Identifier
2374654,"Clark Core Services, LLC",Noble,WareForce 2,WareForce 2,",WareForce 2,Same as Conserver XL2, but made for Chemical Dealers.",,Stationary Single Tank Door - Dump and Fill,Chemical Sanitizing (Low Temp) Machine,0,,,,1.16,,,0.01,,No,,No,,78,,No,,01/30/2013,03/09/2021,United States,ES_1138870_WareForce 2_03082021144944_7830735
2374655,"Clark Core Services, LLC",Noble,WareForce 2-CML,WareForce 2-CML,",WareForce 2-CML,CML models are designed to fit into corners and have the doors moved to accommodate installation.",,Stationary Single Tank Door - Dump and Fill,Chemical Sanitizing (Low Temp) Machine,0,,,,1.16,,,0.01,,No,,No,,78,,No,,01/30/2013,03/09/2021,United States,ES_1138870_WareForce 2-CML_03082021144944_9521273
2374656,"Clark Core Services, LLC",Noble,WareForce 2-CMR,WareForce 2-CMR,",WareForce 2-CMR,CMR models are designed to fit into corners and have the doors moved to accommodate installation.",,Stationary Single Tank Door - Dump and Fill,Chemical Sanitizing (Low Temp) Machine,0,,,,1.16,,,0.01,,No,,No,,78,,No,,01/30/2013,03/09/2021,United States,ES_1138870_WareForce 2-CMR_03082021144944_8200922
2375554,"Clark Core Services, LLC",Noble,WareForce 1-E,WareForce 1-E,",WareForce 1-E,Identical to Conserver XL-E except for model name and markings.",,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0,,No,0,1.02,,,0.01,,No,,No,,39,,No,,10/04/2017,03/30/2021,United States,ES_1138870_WareForce 1-E_03302021115026_5685389
2377837,"Clark Core Services, LLC",Noble,WareForce 1-E-LTH,WareForce 1-E-LTH,,,Stationary Single Tank Door,Chemical Sanitizing (Low Temp) Machine,0.14,,No,,1.03,,,0.15,,No,,No,,37,,No,,10/04/2017,05/13/2021,United States,ES_1138870_WareForce 1-E-LTH_04282021145006_5584054
2378707,"Clark Core Services, LLC",Noble,WareForce DG,WareForce DG,",WareForce DG,Same as Delta 5. Offered only to Chemical Dealers. Has different decals.",,Under Counter - Glasswasher,Chemical Sanitizing (Low Temp) Machine,0.07,,,,1.15,,,0.01,,No,,No,,29,,No,,01/30/2013,06/02/2021,United States,ES_1138870_WareForce DG_06022021115345_6575089
2378708,"Clark Core Services, LLC",Noble,WareForce DG-E,WareForce DG-E,",WareForce DG-E,Same as Delta 5. Offered only to Chemical Dealers. Has different decals.",,Under Counter - Glasswasher,Chemical Sanitizing (Low Temp) Machine,0.07,,,,1.15,,,0.01,,No,,No,,29,,No,,01/30/2013,06/02/2021,United States,ES_1138870_WareForce DG-E_06022021115345_4555911
2382866,"Clark Core Services, LLC",Noble,WareForce HT180HH-E,WareForce HT180HH-E,,,Stationary Single Tank Door,Hot Water Sanitizing (High Temp) Machine,,0.49,No,0.13,0.72,,,,0.32,No,,No,,52,,No,,07/28/2017,08/04/2021,United States,ES_1138870_WareForce HT180HH-E_08022021171623_6304721
2383428,"Clark Core Services, LLC",Noble,WareForce UL30,WareForce UL30,,,Under Counter - Glasswasher,Chemical Sanitizing (Low Temp) Machine,0.1,,No,,1.15,,,0.08,,No,,No,,24,,No,,12/29/2016,08/13/2021,United States,ES_1138870_WareForce UL30_08032021102824_5825769
2384926,"Clark Core Services, LLC",Noble,WareForce HT180HH-E,WareForce HT180HH-E,,,Stationary Single Tank Door - PPU,Hot Water Sanitizing (High Temp) Machine,,0.49,No,0.13,,,,,0.32,No,,No,,52,2.71,No,,07/28/2017,10/05/2021,United States,ES_1138870_WareForce HT180HH-E_08032021125052_9355868
2385030,"Clark Core Services, LLC",Wareforce,WAREFORCE UH30-E,WAREFORCE UH30-E,,,Under Counter - Glasswasher,Hot Water Sanitizing (High Temp) Machine,,0.24,No,0.16,0.59,,,,0.3,No,,No,,27,,Yes,0.24,08/16/2021,09/20/2021,"United States, Canada",ES_1138870_WAREFORCE UH30-E_09302021104948_3830377
3417527,"Clark Core Services, LLC",Noble,495HTGW22,495HTGW22,,,Under Counter - Glasswasher,Hot Water Sanitizing (High Temp) Machine,,0.25,,0.07,0.65,,,,0.12,No,,No,,17,,No,,04/22/2022,04/22/2022,"United States, Canada",ES_1138870_495HTGW22_02202024114804_6146203
